Date,ETH,ClassA,ClassB,InterestCount
2017/10/1,303.95,1,1,0
2017/10/2,296.81,1.0002,0.952818589,1
2017/10/3,291.81,1.0004,0.919718441,2
2017/10/4,291.68,1.0006,0.918663037,3
2017/10/5,294.99,1.0008,0.940242935,4
2017/10/6,308.33,1.001,1.02782053,5
2017/10/7,311.26,1.0012,1.046900016,6
2017/10/8,309.49,1.0014,1.035053364,7
2017/10/9,296.95,1.0016,0.952339793,8
2017/10/10,298.46,1.0018,0.962075637,9
2017/10/11,302.86,1.002,0.990827768,10
2017/10/12,302.89,1.0022,0.990825169,11
2017/10/13,336.83,1.0024,1.213951374,12
2017/10/14,338.81,1.0026,1.226779832,13
2017/10/15,336.58,1.0028,1.211906366,14
2017/10/16,334.23,1.003,1.196243297,15
2017/10/17,316.14,1.0032,1.077010561,16
2017/10/18,313.54,1.0034,1.059702484,17
2017/10/19,307.41,1.0036,1.019166902,18
2017/10/20,303.08,1.0038,0.990475374,19
2017/10/21,299.55,1.004,0.96704787,20
2017/10/22,294.03,1.0042,0.930526106,21
2017/10/23,285.27,1.0044,0.872685047,22
2017/10/24,296.5,1.0046,0.946378779,23
2017/10/25,296.35,1.0048,0.945191775,24
2017/10/26,295.54,1.005,0.939661951,25
2017/10/27,296.36,1.0052,0.944857575,26
2017/10/28,293.35,1.0054,0.924851686,27
2017/10/29,304.04,1.0056,0.994992203,28
2017/10/30,306.8,1.0058,1.012953084,29
2017/10/31,303.64,1.006,0.991960191,30
2017/11/1,289.42,1.0062,0.89819217,31
2017/11/2,284.92,1.0064,0.868382037,32
2017/11/3,304.51,1.0066,0.997084817,33
2017/11/4,300.04,1.0068,0.967472084,34
2017/11/5,296.23,1.007,0.942202171,35
2017/11/6,296.82,1.0072,0.945884389,36
2017/11/7,291.84,1.0074,0.912915841,37
2017/11/8,307.35,1.0076,1.014772101,38
2017/11/9,319.66,1.0078,1.095572265,39
2017/11/10,296.86,1.008,0.94534759,40
2017/11/11,314.23,1.0082,1.059442704,41
2017/11/12,306.02,1.0084,1.005220661,42
2017/11/13,314.6,1.0086,1.061477315,43
2017/11/14,334.72,1.0088,1.193667511,44
2017/11/15,331.2,1.009,1.170305807,45
2017/11/16,330.32,1.0092,1.164315381,46
2017/11/17,331.72,1.0094,1.173327422,47
2017/11/18,346.65,1.0096,1.271367264,48
2017/11/19,354.6,1.0098,1.3234785,49
2017/11/20,367.71,1.01,1.409542688,50
2017/11/21,360.52,1.0102,1.362032275,51
2017/11/22,380.84,1.0104,1.495538477,52
2017/11/23,406.57,1.0106,1.664642639,53
2017/11/24,470.43,1,1,0
2017/11/25,464.61,1.0002,0.97505668,1
2017/11/26,470.54,1.0004,1.000067657,2
2017/11/27,475.24,1.0006,1.019849376,3
2017/11/28,466.27,1.0008,0.981514053,4
2017/11/29,427.42,1.001,0.816146015,5
2017/11/30,434.85,1.0012,0.847534137,6
2017/12/1,461.58,1.0014,0.960974849,7
2017/12/2,457.96,1.0016,0.945384674,8
2017/12/3,462.81,1.0018,0.965804107,9
2017/12/4,466.93,1.002,0.983119997,10
2017/12/5,453.96,1.0022,0.927778955,11
2017/12/6,422.48,1.0024,0.793743953,12
2017/12/7,421.15,1.0026,0.787889552,13
2017/12/8,451.74,1.0028,0.917740782,14
2017/12/9,472.86,1.003,1.007330974,15
2017/12/10,436.49,1.0032,0.852506481,16
2017/12/11,513.29,1.0034,1.17881627,17
2017/12/12,656.52,1.0036,1.787548524,18
2017/12/13,699.09,1.0038,1.968331879,19
2017/12/14,693.58,1.004,1.944706503,20
2017/12/15,684.27,1.0042,1.904925694,21
2017/12/16,692.83,1.0044,1.94111793,22
2017/12/17,717.71,1,1,0
2017/12/18,785.99,1.0002,1.190071837,1
2017/12/19,812.5,1.0004,1.263745686,2
2017/12/20,799.17,1.0006,1.226399763,3
2017/12/21,789.39,1.0008,1.198946416,4
2017/12/22,657.83,1.001,0.832135946,5
2017/12/23,700.44,1.0012,0.950674713,6
2017/12/24,675.91,1.0014,0.882118413,7
2017/12/25,723.14,1.0016,1.01353146,8
2017/12/26,753.4,1.0018,1.097655212,9
2017/12/27,739.94,1.002,1.059947026,10
2017/12/28,716.69,1.0022,0.994957626,11
2017/12/29,739.6,1.0024,1.058599568,12
2017/12/30,692.99,1.0026,0.928514238,13
2017/12/31,741.13,1.0028,1.062463129,14
2018/1/1,756.2,1.003,1.104257806,15
2018/1/2,861.97,1.0032,1.398800808,16
2018/1/3,941.1,1.0034,1.619107698,17
2018/1/4,944.83,1.0036,1.629301868,18
2018/1/5,967.13,1.0038,1.691243959,19
2018/1/6,1006.41,1.004,1.800503212,20
2018/1/7,1117.75,1,1,0
2018/1/8,1136.11,1.0002,1.032651711,1
2018/1/9,1289.24,1.0004,1.30644858,2
2018/1/10,1248.99,1.0006,1.234228897,3
2018/1/11,1139.32,1.0008,1.037795393,4
2018/1/12,1261.03,1.001,1.255372176,5
2018/1/13,1385.02,1.0012,1.477028584,6
2018/1/14,1359.48,1.0014,1.431129635,7
2018/1/15,1278.69,1.0016,1.286371371,8
2018/1/16,1050.26,1.0018,0.877439544,9
2018/1/17,1024.69,1.002,0.831486916,10
2018/1/18,1012.97,1.0022,0.810316216,11
2018/1/19,1037.36,1.0024,0.853757459,12
2018/1/20,1150.5,1.0026,1.055999866,13
2018/1/21,1049.09,1.0028,0.874346052,14
2018/1/22,999.64,1.003,0.785664728,15
2018/1/23,984.47,1.0032,0.758320913,16
2018/1/24,1061.78,1.0034,0.896452382,17
2018/1/25,1046.37,1.0036,0.868679132,18
2018/1/26,1048.58,1.0038,0.872433505,19
2018/1/27,1109.08,1.004,0.980486692,20
2018/1/28,1231.58,1.0042,1.19947703,21
2018/1/29,1169.96,1.0044,1.089019817,22
2018/1/30,1063.75,1.0046,0.898777321,23
2018/1/31,1111.31,1.0048,0.983676851,24
2018/2/1,1026.19,1.005,0.831170879,25
2018/2/2,917.47,1.0052,0.636437218,26
2018/2/3,970.87,1.0054,0.731786312,27
2018/2/4,827.59,1.0056,0.475214136,28
2018/2/5,695.08,1,1,0
2018/2/6,785.01,1.0002,1.258561581,1
2018/2/7,751.81,1.0004,1.162833009,2
2018/2/8,813.55,1.0006,1.340281625,3
2018/2/9,877.88,1.0008,1.525182621,4
2018/2/10,850.75,1.001,1.446919664,5
2018/2/11,811.24,1.0012,1.333034908,6
2018/2/12,865.27,1.0014,1.488299027,7
2018/2/13,840.98,1.0016,1.418207792,8
2018/2/14,920.11,1.0018,1.645693814,9
2018/2/15,927.95,1.002,1.668052368,10
2018/2/16,938.02,1.0022,1.69682745,11
2018/2/17,974.77,1.0024,1.802370674,12
2018/2/18,913.9,1.0026,1.627025367,13
2018/2/19,939.79,1.0028,1.701320389,14
2018/2/20,885.52,1.003,1.544965702,15
2018/2/21,840.1,1.0032,1.414075709,16
2018/2/22,804.63,1.0034,1.311815515,17
2018/2/23,854.7,1.0036,1.455685262,18
2018/2/24,833.49,1.0038,1.394456316,19
2018/2/25,840.28,1.004,1.413793635,20
2018/2/26,867.62,1.0042,1.492260839,21
2018/2/27,871.58,1.0044,1.503455211,22
2018/2/28,851.5,1.0046,1.445477689,23